Question_ID,answer_text,answer_cut,words_num,score
36,动物细胞具有确定的核，而植物细胞没有,动物细胞 具有 确定 的 核 而 植物 细胞 没有 ,9,0
36,蔬菜是淀粉，动物是葡萄糖,蔬菜 是 淀粉 动物 是 葡萄糖 ,6,2
36,一个是单细胞的，另一个是双细胞的,一个 是 单细胞 的 另 一个 是 双 细胞 的 ,10,0
36,动物有细胞壁而蔬菜没有,动物 有 细胞壁 而 蔬菜 没有 ,6,0
36,植物细胞具有叶绿体，细胞壁和一些不同于动物细胞的细胞器,植物 细胞 具有 叶绿体 细胞壁 和 一些 不同于 动物细胞 的 细胞器 ,11,2
36,植物细胞具有细胞外观，而动物则没有。,植物 细胞 具有 细胞 外观 而 动物 则 没有 ,9,3
36,遗传物质的分离,遗传物质 的 分离 ,3,0
36,质膜是不同的。我猜。,质膜 是 不同 的 我 猜 ,6,1
36,在动物细胞中，植物具有膜，细胞质和细胞核，在真空绿藻中具有3个以上的细胞壁，而在植物细胞中，细胞呼吸是光合作用，发生在叶绿体中。,在 动物细胞 中 植物 具有 膜 细胞质 和 细胞核 在 真空 绿藻 中 具有 个 以上 的 细胞壁 而 在 植物 细胞 中 细胞 呼吸 是 光合作用 发生 在 叶绿体 中 ,31,3
36,植物细胞具有动物细胞拥有的一切，包括所有细胞器，以及细胞壁和叶绿体。,植物 细胞 具有 动物细胞 拥有 的 一切 包括 所有 细胞器 以及 细胞壁 和 叶绿体 ,14,3
36,动物细胞是动物，狗，牛...等蔬菜细胞是蔬菜...等,动物细胞 是 动物 狗 牛 等 蔬菜 细胞 是 蔬菜 等 ,11,1
36,一个拥有核心,一个 拥有 核心 ,3,0
36,动物对动物，蔬菜对蔬菜。,动物 对 动物 蔬菜 对 蔬菜 ,6,1
36,它是液泡，质体和细胞壁的存在。,它 是 液泡 质体 和 细胞壁 的 存在 ,8,3
36,动物细胞能够繁殖而植物细胞不能繁殖,动物细胞 能够 繁殖 而 植物 细胞 不能 繁殖 ,8,0
36,仅动物细胞动植物人和植物,仅 动物细胞 动植物 人 和 植物 ,6,0
36,植物细胞储存淀粉和动物糖原,植物 细胞 储存 淀粉 和 动物 糖原 ,7,2
36,动物细胞更复杂，在动物中，植物细胞在植物中,动物细胞 更 复杂 在 动物 中 植物 细胞 在 植物 中 ,11,1
36,动物细胞与植物细胞之间的区别在于植物细胞具有叶绿体，而动物细胞则没有。,动物细胞 与 植物 细胞 之间 的 区别 在于 植物 细胞 具有 叶绿体 而 动物细胞 则 没有 ,16,3
36,区别在于动物细胞的植物细胞是细胞壁和叶绿体,区别 在于 动物细胞 的 植物 细胞 是 细胞壁 和 叶绿体 ,10,3
36,植物细胞是原核生物，动物细胞是真核生物,植物 细胞 是 原核 生物 动物细胞 是 真核 生物 ,9,0
36,动物细胞是动物，蔬菜细胞是蔬菜,动物细胞 是 动物 蔬菜 细胞 是 蔬菜 ,7,1
36,动物细胞存在于动物体内，而植物体内的植物细胞具有细胞壁和叶绿体，这与动物不同,动物细胞 存在 于 动物 体内 而 植物 体内 的 植物 细胞 具有 细胞壁 和 叶绿体 这 与 动物 不同 ,19,3
36,在植物中，细胞的质膜上有一个壁，该壁位于内部，而动物细胞则没有,在 植物 中 细胞 的 质膜 上 有 一个 壁 该壁 位于 内部 而 动物细胞 则 没有 ,17,2
36,动植物细胞具有不同的格式。动物细胞具有不规则形状，而植物细胞具有固定形状。,动植物 细胞 具有 不同 的 格式 动物细胞 具有 不规则 形状 而 植物 细胞 具有 固定 形状 ,16,3
36,一种包含细胞核，一种不含细胞核，一种是动物，另一种是植物,一种 包含 细胞核 一种 不 含 细胞核 一种 是 动物 另 一种 是 植物 ,14,1
36,不知道,不 知道 ,2,0
36,一个有叶绿体，另一个没有。,一个 有 叶绿体 另 一个 没有 ,6,3
36,动物细胞能够繁殖非植物蔬菜,动物细胞 能够 繁殖 非 植物 蔬菜 ,6,0
36,与植物细胞相比，在动物细胞中它具有更多的信息和更多的内容,与 植物 细胞 相比 在 动物细胞 中 它 具有 更 多 的 信息 和 更 多 的 内容 ,18,1
36,动物细胞是单细胞的，而植物细胞具有一个以上的核，也就是说，它是多细胞的。,动物细胞 是 单细胞 的 而 植物 细胞 具有 一个 以上 的 核 也就是说 它 是 多 细胞 的 ,18,0
36,动物细胞具有细胞壁，而植物细胞没有,动物细胞 具有 细胞壁 而 植物 细胞 没有 ,7,0
36,Q植物细胞有细胞壁,Q 植物 细胞 有 细胞壁 ,5,3
36,Q植物细胞有细胞壁,Q 植物 细胞 有 细胞壁 ,5,3
36,Q植物细胞有细胞壁,Q 植物 细胞 有 细胞壁 ,5,3
36,动物细胞不产生叶绿体，而植物细胞产生叶绿体,动物细胞 不 产生 叶绿体 而 植物 细胞 产生 叶绿体 ,9,2
36,除质膜外，植物细胞还具有在其外部排列的壁。,除 质膜 外 植物 细胞 还 具有 在 其 外部 排列 的 壁 ,13,3
36,动物没有氯膏，细胞壁不同，蔬菜有,动物 没有 氯膏 细胞壁 不同 蔬菜 有 ,7,3
36,除了植物细胞呈现的细胞壁外，它还具有不同的形状和细胞器,除了 植物 细胞 呈现 的 细胞壁 外 它 还 具有 不同 的 形状 和 细胞器 ,15,3
36,动物细胞具有质膜，而植物细胞没有质膜,动物细胞 具有 质膜 而 植物 细胞 没有 质膜 ,8,1
36,植物细胞具有细胞壁。,植物 细胞 具有 细胞壁 ,4,3
36,动物细胞有一个文库，而植物细胞没有。,动物细胞 有 一个 文库 而 植物 细胞 没有 ,8,0
36,不知道,不 知道 ,2,0
36,动物细胞是多细胞的，也就是说，它是由多个细胞形成的，而植物是单细胞的，并且仅由一个细胞形成。,动物细胞 是 多 细胞 的 也就是说 它 是 由 多个 细胞 形成 的 而 植物 是 单细胞 的 并且 仅 由 一个 细胞 形成 ,24,0
36,动物细胞的线粒体比植物多，也有叶绿素，植物进行光合作用，而动物则没有,动物细胞 的 线粒体 比 植物 多 也 有 叶绿素 植物 进行 光合作用 而 动物 则 没有 ,16,2
36,不知道,不 知道 ,2,0
36,在植物细胞中，质膜的壁由不同于动物细胞的纤维素形成。,在 植物 细胞 中 质膜 的 壁 由 不同于 动物细胞 的 纤维素 形成 ,13,3
36,动物细胞能够繁殖而植物细胞不能繁殖,动物细胞 能够 繁殖 而 植物 细胞 不能 繁殖 ,8,0
36,动物细胞：\-它们没有细胞壁； \-圆形和不规则形状\\植物细胞：\-它们具有细胞壁； \-固定和矩形形状。,动物细胞 它们 没有 细胞壁 圆形 和 不规则 形状 植物 细胞 它们 具有 细胞壁 固定 和 矩形 形状 ,17,3
36,液泡的存在,液泡 的 存在 ,3,2
36,植物细胞没有核,植物 细胞 没有 核 ,4,0
36,除了存在于动物细胞中的基本成分，细胞质，细胞核和质膜之外，植物细胞还具有细胞壁，该细胞壁可作为附加保护，用于储存的液泡，用于进行光合作用的叶绿体。,除了 存在 于 动物细胞 中 的 基本成分 细胞质 细胞核 和 质膜 之外 植物 细胞 还 具有 细胞壁 该 细胞壁 可 作为 附加 保护 用于 储存 的 液泡 用于 进行 光合作用 的 叶绿体 ,32,3
36,与具有质膜的动物不同，植物细胞具有细胞壁,与 具有 质膜 的 动物 不同 植物 细胞 具有 细胞壁 ,10,3
36,植物细胞具有叶绿体，而动物细胞则没有。,植物 细胞 具有 叶绿体 而 动物细胞 则 没有 ,8,3
36,不知道,不 知道 ,2,0
36,细胞膜的存在和某些特定细胞器的存在,细胞膜 的 存在 和 某些 特定 细胞器 的 存在 ,9,1
36,在植物中，质膜的细胞壁在内部排列，而在动物细胞中则没有。,在 植物 中 质膜 的 细胞壁 在 内部 排列 而 在 动物细胞 中则 没有 ,14,2
36,不知道,不 知道 ,2,0
36,动植物细胞和植物,动植物 细胞 和 植物 ,4,1
36,区别在于，一个具有质膜，另一个仅具有“空心”,区别 在于 一个 具有 质膜 另 一个 仅 具有 空心 ,10,0
36,动物细胞可以繁殖而植物细胞不能繁殖,动物细胞 可以 繁殖 而 植物 细胞 不能 繁殖 ,8,0
36,植物细胞含有叶绿素，而动物细胞则不含。,植物 细胞 含有 叶绿素 而 动物细胞 则 不 含 ,9,3
36,动物是活着的，不会自我繁殖。而蔬菜是活着的，但也能潜意识的繁殖。,动物 是 活着 的 不会 自我 繁殖 而 蔬菜 是 活着 的 但 也 能 潜意识 的 繁殖 ,18,0
36,它们的区别是细胞壁，空隙和质体,它们 的 区别 是 细胞壁 空隙 和 质体 ,8,3
36,植物细胞更简单，而动物细胞更复杂。,植物 细胞 更 简单 而 动物细胞 更 复杂 ,8,0
36,的,的 ,1,0
36,不同之处在于，有些具有液泡，质体和细胞壁，而另一种则没有。,不同之处 在于 有些 具有 液泡 质体 和 细胞壁 而 另 一种 则 没有 ,13,2
36,动物细胞由来自植物细胞的不同类型的细胞器组成。,动物细胞 由 来自 植物 细胞 的 不同 类型 的 细胞器 组成 ,11,2
36,植物细胞具有叶绿体，可以进行光合作用，而动物细胞则不允许。,植物 细胞 具有 叶绿体 可以 进行 光合作用 而 动物细胞 则 不 允许 ,12,3
36,动物细胞具有细胞壁，而植物细胞没有,动物细胞 具有 细胞壁 而 植物 细胞 没有 ,7,3
36,在植物中，细胞内有质膜，在细胞内衬有壁，而在动物细胞中则没有,在 植物 中 细胞 内有 质膜 在 细胞 内衬 有壁 而 在 动物细胞 中则 没有 ,15,2
36,因为动物是动植物,因为 动物 是 动植物 ,4,1
36,名字,名字 ,1,0
36,它们具有不同的形状，植物细胞具有溶酶体，而动物细胞很难具有溶酶体。,它们 具有 不同 的 形状 植物 细胞 具有 溶酶体 而 动物细胞 很难 具有 溶酶体 ,14,0
36,动物细胞仅由一个细胞组成，而植物细胞则由多个细胞组成。,动物细胞 仅 由 一个 细胞 组成 而 植物 细胞 则 由 多个 细胞 组成 ,14,0
36,真核生物和原核生物,真核 生物 和 原核 生物 ,5,0
36,动植物细胞之间的区别在于，没有植物具有质膜或中心粒,动植物 细胞 之间 的 区别 在于 没有 植物 具有 质膜 或 中心粒 ,12,0
36,伊古尔,伊古尔 ,1,0
36,形态，细胞壁（植物），植物细胞有液泡。,形态 细胞壁 植物 植物 细胞 有 液泡 ,7,3
36,在将植物细胞与动物区分开的差异中，我们可以突出显示液泡，质体和细胞壁的存在。此外，它还可以赋予植物细胞大小和形状，并防止病原体进入。,在 将 植物 细胞 与 动物 区分 开 的 差异 中 我们 可以 突出 显示 液泡 质体 和 细胞壁 的 存在 此外 它 还 可以 赋予 植物 细胞 大小 和 形状 并 防止 病原体 进入 ,35,2
36,动物细胞位于动物中，植物细胞位于植物中,动物细胞 位于 动物 中 植物 细胞 位于 植物 中 ,9,1
36,蔬菜-有细胞壁\动物-没有细胞壁,蔬菜 有 细胞壁 动物 没有 细胞壁 ,6,3
36,在植物中，细胞内有质膜，在细胞内衬有壁，而在动物细胞中则没有。,在 植物 中 细胞 内有 质膜 在 细胞 内衬 有壁 而 在 动物细胞 中则 没有 ,15,2
36,植物细胞在我们看来有两个结构。在动物细胞中，它们是叶绿体和细胞壁,植物 细胞 在 我们 看来 有 两个 结构 在 动物细胞 中 它们 是 叶绿体 和 细胞壁 ,16,2
36,不知道,不 知道 ,2,0
36,在植物中，除质膜外，细胞还具有在其外部排列的壁。该细胞壁主要由纤维素形成，确保了对植物细胞的更大抵抗力，避免了水分进入而破裂。...在细胞质中，某些细胞器是植物和动物细胞共有的。,在 植物 中 除 质膜 外 细胞 还 具有 在 其 外部 排列 的 壁 该 细胞壁 主要 由 纤维素 形成 确保 了 对 植物 细胞 的 更 大 抵抗力 避免 了 水分 进入 而 破裂 在 细胞质 中 某些 细胞器 是 植物 和 动物细胞 共有 的 ,47,3
36,动物和活细胞，植物细胞来自植物,动物 和 活 细胞 植物 细胞 来自 植物 ,8,2
36,动植物细胞之间的结构差异很大,动植物 细胞 之间 的 结构 差异 很大 ,7,2
36,动物细胞的线粒体比植物细胞多，植物进行光合作用，它的身体不同。,动物细胞 的 线粒体 比 植物 细胞 多 植物 进行 光合作用 它 的 身体 不同 ,14,2
36,植物细胞具有细胞壁，而动物没有,植物 细胞 具有 细胞壁 而 动物 没有 ,7,3
36,植物细胞含有叶绿素,植物 细胞 含有 叶绿素 ,4,2
36,植物细胞具有质膜，而动物则没有。,植物 细胞 具有 质膜 而 动物 则 没有 ,8,0
36,植物细胞具有细胞壁，叶绿素和液泡。,植物 细胞 具有 细胞壁 叶绿素 和 液泡 ,7,3
36,植物细胞有叶绿体，动物细胞没有。,植物 细胞 有 叶绿体 动物细胞 没有 ,6,3
36,植物细胞可以光合作用，而动物细胞则不能。,植物 细胞 可以 光合作用 而 动物细胞 则 不能 ,8,1
36,一些细胞器和叶绿体\植物细胞具有细胞壁，而动物则没有。,一些 细胞器 和 叶绿体 植物 细胞 具有 细胞壁 而 动物 则 没有 ,12,3
36,动物细胞是动物，狗，牛等。蔬菜细胞是蔬菜...等,动物细胞 是 动物 狗 牛 等 蔬菜 细胞 是 蔬菜 等 ,11,1
36,动物细胞是动物的细胞，植物细胞是植物的细胞,动物细胞 是 动物 的 细胞 植物 细胞 是 植物 的 细胞 ,11,1
36,。,,0,0
36,动物有一个核，而蔬菜没有。,动物 有 一个 核 而 蔬菜 没有 ,7,0
36,X,X ,1,0
36,细胞壁的存在,细胞壁 的 存在 ,3,2
36,植物细胞具有细胞壁,植物 细胞 具有 细胞壁 ,4,3
36,动物细胞和植物细胞有什么区别？,动物细胞 和 植物 细胞 有 什么 区别 ,7,0
36,质膜,质膜 ,1,0
36,动物没有核，而蔬菜有,动物 没有 核 而 蔬菜 有 ,6,0
36,主要区别在于植物细胞具有细胞壁，因为它需要更高的刚性。,主要 区别 在于 植物 细胞 具有 细胞壁 因为 它 需要 更 高 的 刚性 ,14,3
36,植物细胞具有细胞壁和叶绿体,植物 细胞 具有 细胞壁 和 叶绿体 ,6,3
36,动物细胞是真核生物，异养生物，而蔬菜是自养生物和原核生物,动物细胞 是 真核 生物 异养生物 而 蔬菜 是 自养 生物 和 原核 生物 ,13,2
36,植物细胞的细胞器没有出现在动物细胞中,植物 细胞 的 细胞器 没有 出现 在 动物细胞 中 ,9,1
36,一种具有空泡，质体和细胞壁，一种没有,一种 具有 空泡 质体 和 细胞壁 一种 没有 ,8,3
36,面食：\ 1/2杯油（茶）\ 3磨碎的中型胡萝卜\ \ 4鸡蛋\ \ 2杯（茶）糖\ \ 2和1/2杯（茶）小麦粉\ 1汤匙发酵粉（汤）,面食 杯油 茶 磨碎 的 中型 胡萝卜 鸡蛋 杯 茶 糖 和 杯 茶 小麦粉 汤匙 发酵粉 汤 ,18,0
36,在植物中，质膜的细胞内部覆盖着孔，而在动物细胞中则没有。,在 植物 中 质膜 的 细胞 内部 覆盖 着 孔 而 在 动物细胞 中则 没有 ,15,2
36,在植物中，质膜的壁在其内部排列，而在动物细胞中则没有。,在 植物 中 质膜 的 壁 在 其 内部 排列 而 在 动物细胞 中则 没有 ,15,2
36,动物细胞具有一些植物细胞所没有的细胞器，例如线粒体，溶酶体，核糖体……以及具有动物所没有的细胞器的植物，例如：细胞壁，叶绿体和细胞质,动物细胞 具有 一些 植物 细胞 所 没有 的 细胞器 例如 线粒体 溶酶体 核糖体 以及 具有 动物所 没有 的 细胞器 的 植物 例如 细胞壁 叶绿体 和 细胞质 ,26,3
36,植物细胞具有非动物细胞壁,植物 细胞 具有 非 动物 细胞壁 ,6,3
36,蔬菜是原核生物（没有图书馆），动物是真核生物（有图书馆）。,蔬菜 是 原核 生物 没有 图书馆 动物 是 真核 生物 有 图书馆 ,12,0
36,质体空泡和长期壁的存在,质体 空泡 和 长期 壁 的 存在 ,7,2
36,植物细胞与细胞之间的区别在于植物细胞产生一种绿色的物质（叶绿体）。,植物 细胞 与 细胞 之间 的 区别 在于 植物 细胞 产生 一种 绿色 的 物质 叶绿体 ,16,1
36,正确答案,正确 答案 ,2,0
36,植物细胞具有质膜和在外部衬里的壁。动物细胞则相反。,植物 细胞 具有 质膜 和 在 外部 衬里 的 壁 动物细胞 则 相反 ,13,1
36,植物细胞有叶绿体，动物细胞没有叶绿体,植物 细胞 有 叶绿体 动物细胞 没有 叶绿体 ,7,3
36,质膜和无核,质膜 和 无核 ,3,1
36,植物细胞的细胞器没有出现在动物细胞中。它被称为叶绿体，其功能是使细胞进行光合作用,植物 细胞 的 细胞器 没有 出现 在 动物细胞 中 它 被 称为 叶绿体 其 功能 是 使 细胞 进行 光合作用 ,20,3
36,一种是蔬菜，一种是动物,一种 是 蔬菜 一种 是 动物 ,6,1
36,动物细胞具有不规则的形状\\植物细胞具有固定的形状。,动物细胞 具有 不规则 的 形状 植物 细胞 具有 固定 的 形状 ,11,3
36,植物细胞具有一些不同的结构，例如叶绿体。,植物 细胞 具有 一些 不同 的 结构 例如 叶绿体 ,9,3
36,植物细胞具有两个在动物细胞中不存在的结构。它们是：叶绿体和细胞壁。,植物 细胞 具有 两个 在 动物细胞 中 不 存在 的 结构 它们 是 叶绿体 和 细胞壁 ,16,3
36,动物细胞具有细胞壁，吸尘器和塑料以及一些使其与动物区分开的细胞器,动物细胞 具有 细胞壁 吸尘器 和 塑料 以及 一些 使 其 与 动物 区分 开 的 细胞器 ,16,2
36,一个拥有核心，另一个没有核心,一个 拥有 核心 另 一个 没有 核心 ,7,0
36,质体空泡和长期壁的存在,质体 空泡 和 长期 壁 的 存在 ,7,2
36,在植物中，存在着细胞壁的叶绿素。,在 植物 中 存在 着 细胞壁 的 叶绿素 ,8,3
36,细胞壁和叶绿素的存在,细胞壁 和 叶绿素 的 存在 ,5,3
36,动物比蔬菜还复杂,动物 比 蔬菜 还 复杂 ,5,0
36,动物细胞是动物的细胞，并且是动物的细胞，而植物细胞是植物的细胞。,动物细胞 是 动物 的 细胞 并且 是 动物 的 细胞 而 植物 细胞 是 植物 的 细胞 ,17,2
36,遗传物质的分离,遗传物质 的 分离 ,3,0
36,植物细胞有叶绿体，而动物细胞没有叶绿体,植物 细胞 有 叶绿体 而 动物细胞 没有 叶绿体 ,8,3
36,植物细胞的细胞器没有出现在动物细胞中,植物 细胞 的 细胞器 没有 出现 在 动物细胞 中 ,9,1
36,动物细胞没有细胞壁和植物符号,动物细胞 没有 细胞壁 和 植物 符号 ,6,3
36,糖原：动物\淀粉：蔬菜,糖原 动物 淀粉 蔬菜 ,4,1
36,动物细胞没有细胞壁,动物细胞 没有 细胞壁 ,3,3
36,植物细胞具有细胞壁，而动物没有,植物 细胞 具有 细胞壁 而 动物 没有 ,7,3
36,该植物具有两个在动物细胞中不存在的结构。它们是叶绿体，看起来呈细胞状。,该 植物 具有 两个 在 动物细胞 中 不 存在 的 结构 它们 是 叶绿体 看起来 呈 细胞状 ,17,3
36,在植物细胞中，除质膜外，还存在细胞，似乎在外部覆盖了细胞,在 植物 细胞 中 除 质膜 外 还 存在 细胞 似乎 在 外部 覆盖 了 细胞 ,16,2
36,动物有核而动物没有核,动物 有核 而 动物 没有 核 ,6,0
36,不知道,不 知道 ,2,0
36,蔬菜-叶绿体/细胞壁\动物-不同格式,蔬菜 叶绿体 细胞壁 动物 不同 格式 ,6,3
36,植物细胞具有细胞壁和叶绿体，动物细胞具有质膜,植物 细胞 具有 细胞壁 和 叶绿体 动物细胞 具有 质膜 ,9,2
36,动物细胞在动物体内。还有蔬菜和植物。,动物细胞 在 动物 体内 还有 蔬菜 和 植物 ,8,2
36,动植物细胞是真核生物，但是它们有区别，首先是它的结构和形状，其次是它的细胞壁，最后是它的细胞器。,动植物 细胞 是 真核 生物 但是 它们 有 区别 首先 是 它 的 结构 和 形状 其次 是 它 的 细胞壁 最后 是 它 的 细胞器 ,26,1
36,动物细胞是真核细胞，具有质膜，植物细胞具有细胞壁,动物细胞 是 真核细胞 具有 质膜 植物 细胞 具有 细胞壁 ,9,2
36,植物细胞有细胞壁而动物细胞没有,植物 细胞 有 细胞壁 而 动物细胞 没有 ,7,3
36,这些植物的细胞不仅具有光合作用,这些 植物 的 细胞 不仅 具有 光合作用 ,7,1
36,不知道,不 知道 ,2,0
36,动物细胞是人和动物以及植物和植物的细胞，植物中含有有助于光合作用的物质,动物细胞 是 人 和 动物 以及 植物 和 植物 的 细胞 植物 中 含有 有助于 光合作用 的 物质 ,18,2
36,植物细胞具有质膜，动物没有,植物 细胞 具有 质膜 动物 没有 ,6,0
36,动物细胞没有细胞壁或叶绿体，而植物细胞则具有固定和矩形的形状。,动物细胞 没有 细胞壁 或 叶绿体 而 植物 细胞 则 具有 固定 和 矩形 的 形状 ,15,3
36,一种是生物，另一种是植物，蔬菜。,一种 是 生物 另 一种 是 植物 蔬菜 ,8,2
36,蔬菜：它具有细胞层，液泡，叶绿体以及除线粒体和溶酶体以外的动物的其余部分\动物：液泡，高尔基体，核，线粒体，核仁，质膜，溶酶体，细胞质。,蔬菜 它 具有 细胞层 液泡 叶绿体 以及 除 线粒体 和 溶酶体 以外 的 动物 的 其余部分 动物 液泡 高尔基体 核 线粒体 核仁 质膜 溶酶体 细胞质 ,25,3
36,不知道,不 知道 ,2,0
36,动物细胞有一个文库，而植物细胞没有一个文库。,动物细胞 有 一个 文库 而 植物 细胞 没有 一个 文库 ,10,0
36,植物细胞有成叶细胞，所有细胞都相同，而动物细胞没有成叶细胞，细胞类型也不同。,植物 细胞 有 成叶 细胞 所有 细胞 都 相同 而 动物细胞 没有 成叶 细胞 细胞 类型 也 不同 ,18,1
36,动物细胞被分裂，它设法再生。植物细胞不分裂,动物细胞 被 分裂 它 设法 再生 植物 细胞 不 分裂 ,10,0
36,植物细胞有细胞壁,植物 细胞 有 细胞壁 ,4,3
36,动物细胞具有DNA，植物细胞具有RNA。,动物细胞 具有 DNA 植物 细胞 具有 RNA ,7,0
36,植物细胞具有细胞壁,植物 细胞 具有 细胞壁 ,4,3
36,不知道,不 知道 ,2,0
36,动物细胞没有细胞壁，而植物细胞有,动物细胞 没有 细胞壁 而 植物 细胞 有 ,7,2
36,动物细胞是动物细胞，植物细胞是植物细胞。,动物细胞 是 动物细胞 植物 细胞 是 植物 细胞 ,8,1
36,植物细胞具有较薄的膜，而动物则较厚。,植物 细胞 具有 较 薄 的 膜 而 动物 则 较厚 ,11,1
36,在将植物细胞与动物细胞分开的差异中，我们可以突出显示细胞，植物和细胞壁，无论其细胞核如何。,在 将 植物 细胞 与 动物细胞 分开 的 差异 中 我们 可以 突出 显示 细胞 植物 和 细胞壁 无论 其 细胞核 如何 ,22,2
36,而且植物会产生光合作用，而植物不会,而且 植物 会 产生 光合作用 而 植物 不会 ,8,2
36,动物细胞比植物细胞具有更多的功能，因为动物说话并且具有复杂的消化系统，具有多个器官，而植物的器官仅具有光合作用，养分的产生，水的吸收等。细胞之所以不同，是因为植物与动物截然不同。,动物细胞 比 植物 细胞 具有 更 多 的 功能 因为 动物 说话 并且 具有 复杂 的 消化系统 具有 多个 器官 而 植物 的 器官 仅 具有 光合作用 养分 的 产生 水 的 吸收 等 细胞 之所以 不同 是因为 植物 与 动物 截然不同 ,42,2
36,在植物细胞中，除质膜外，它还有一个“壁”，该壁从外部向外排列。,在 植物 细胞 中 除 质膜 外 它 还有 一个 壁 该壁 从 外部 向外 排列 ,16,2
36,植物细胞具有细胞壁，但没有脂质体或中心粒，而动物细胞具有,植物 细胞 具有 细胞壁 但 没有 脂质体 或 中心粒 而 动物细胞 具有 ,12,3
36,动物细胞无法通过形成像植物这样的肢体来重建自身，动物细胞的功能不同于植物。,动物细胞 无法 通过 形成 像 植物 这样 的 肢体 来 重建 自身 动物细胞 的 功能 不同于 植物 ,17,1
36,一种是在动物中，另一种是在蔬菜中。,一种 是 在 动物 中 另 一种 是 在 蔬菜 中 ,11,1
36,没有细胞壁,没有 细胞壁 ,2,1
36,动物细胞最笨，蔬菜细胞最素食,动物细胞 最笨 蔬菜 细胞 最 素食 ,6,0
36,动物细胞繁殖，植物进行光合作用,动物细胞 繁殖 植物 进行 光合作用 ,5,1
36,区别在于，一个是蔬菜，另一个是动物,区别 在于 一个 是 蔬菜 另 一个 是 动物 ,9,1
36,动物细胞的组织有序，而植物细胞的细胞质则杂乱无章。,动物细胞 的 组织 有序 而 植物 细胞 的 细胞质 则 杂乱无章 ,11,0
36,植物细胞完成光合作用并具有细胞壁,植物 细胞 完成 光合作用 并 具有 细胞壁 ,7,3
36,植物细胞利用光和水作为能量，而动物细胞则从食物中吸收能量。,植物 细胞 利用光 和 水 作为 能量 而 动物细胞 则 从 食物 中 吸收 能量 ,15,2
36,在植物中，细胞膜上有覆盖它的壁，而在动物细胞中，它没有,在 植物 中 细胞膜 上 有 覆盖 它 的 壁 而 在 动物细胞 中 它 没有 ,16,2
